,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
475,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,21742.0,42.0,16492.0,74.8831752,15923.0,75.3232443
476,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,21742.0,42.0,16492.0,74.8831752,17934.0,72.8887969
477,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,29039.0,35.0,14444.0,77.1536909,15923.0,75.3232443
478,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,29039.0,35.0,14444.0,77.1536909,17934.0,72.8887969
479,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,29039.0,35.0,16492.0,74.8831752,15923.0,75.3232443
480,Sinhagad Institute of Technology,Computer Engineering, Lonavala,,JEE,18284.0,47.0,29039.0,35.0,16492.0,74.8831752,17934.0,72.8887969
481,Universal College of Engineering,Computer Engineering,Kaman Dist. Palghar,,JEE,16429.0,50.0,16107.0,50.0,17115.0,73.9255885,15771.0,75.5208082
482,ST. Vincent Pallotti College of Engineering & Technology,Electrical Engineering, Nagpur,,JEE,16435.0,50.0,19274.0,45.0,26989.0,61.8068601,27360.0,61.4689324
483,Marathwada Mitra Mandal's Institute of Technology,Computer Engineering, Lohgaon, Pune,JEE,16454.0,50.0,17698.0,48.0,15274.0,76.0101923,15402.0,75.9503111
484,Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College ofEngineering,Computer Engineering, Sangamner,,JEE,16465.0,50.0,13733.0,55.0,10692.0,81.707368,4216.0,90.7708248
485,Kolhapur Institute of Technology's College of Engineering(Autonomous),Electrical Engineering,Kolhapur,,JEE,16499.0,50.0,17261.0,49.0,24817.0,64.5685027,23729.0,65.9403631
