,Unnamed: 0,Name,Branch,Town,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
33,40,Thakur College of Engineering and Technology,Computer Engineering, Kandivali,JEE,1928,123,3047,106,1891,94.3815612,1818,94.4600576,Co-Ed,3 Acres,3193,135,2001,2.81,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
34,89,Thakur College of Engineering and Technology,Information Technology, Kandivali,JEE,3548,100,3739,98,2860,92.7866138,1907,94.3664854,Co-Ed,3 Acres,3193,135,2001,2.45,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
35,115,Thakur College of Engineering and Technology,Mechanical Engineering, Kandivali,JEE,4249,93,3867,97,6228,87.7810287,10657,81.707368,Co-Ed,3 Acres,3193,135,2001,1.59,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
36,183,Thakur College of Engineering and Technology,Electronics Engineering, Kandivali,JEE,6733,77,4526,91,6672,87.2090374,2719,93.038669,Co-Ed,3 Acres,3193,135,2001,1.94,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
37,202,Thakur College of Engineering and Technology,Civil Engineering, Kandivali,JEE,7868,72,7069,75,7743,85.6296276,17674,73.3061832,Co-Ed,3 Acres,3193,135,2001,1.52,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
38,58,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,2716,110,1812,94.4920082,826,96.3552158,Female,4 Acres,2631,128,1991,2.7,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
39,59,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,2716,110,1812,94.4920082,1171,95.6435427,Female,4 Acres,2631,128,1991,2.95,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
40,60,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,2716,110,2343,93.63352,826,96.3552158,Female,4 Acres,2631,128,1991,2.38,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
41,61,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,2716,110,2343,93.63352,1171,95.6435427,Female,4 Acres,2631,128,1991,2.36,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
42,62,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,JEE,2388,115,3311,103,1812,94.4920082,826,96.3552158,Female,4 Acres,2631,128,1991,2.92,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
