,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
102,2593,112.0,Vivekanand Education Society's Institute of Technology,Information Technology, Chembur,Co-Ed,,3138,126,1984,3.66,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
41,2632,111.0,Shri Ramdeobaba College of Engineering and Management,"Electronics and CommunicationEngineering", Nagpur,Co-Ed,,4685,256,1984,3.91,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
78,2770,110.0,Thadomal Shahani Engineering College,Bio Medical Engineering, Bandra,Co-Ed,,1718,110,1983,3.9,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
197,2716,110.0,MKSSS's Cummins College of Engineering for Women,Computer Engineering, Karvenagar,Female,4 Acres,2631,128,1991,3.82,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
42,2816,109.0,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,Co-Ed,,4685,256,1984,3.85,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
43,2913,108.0,Shri Ramdeobaba College of Engineering and Management,Electrical Engineering, Nagpur,Co-Ed,,4685,256,1984,3.51,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
246,2897,108.0,Pune Vidyarthi Griha's College of Engineering and Technology,Computer Engineering,  Pune,Co-Ed,8 Acres,,98,1985,3.66,"Savitribai Phule Pune University, Pune","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,394500
33,2963,107.0,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,Co-Ed,,4685,256,1984,3.97,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
662,69247,106.0,Lokmanya Tilak College of Engineering,"Electronics and TelecommunicationEngg", Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.16,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
167,3047,106.0,Thakur College of Engineering and Technology,Computer Engineering, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.64,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
260,3132,105.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,10 Acres,1317,51,2001,3.93,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Private,228857.1429
81,3169,105.0,Thadomal Shahani Engineering College,Chemical Engineering, Bandra,Co-Ed,,1718,110,1983,3.71,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
258,3132,105.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,,2150,96,1999,3.69,"Guru Gobind Singh Indraprastha University, Delhi","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Private,443000
259,3132,105.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,10 Acres,793,43,2012,3.82,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Lavale,Maharashtra,India,Private,283200
1192,69376,104.0,Wainganga College of Engineering and Management,Information Technology, Dongargaon,Co-Ed,7 Acres,1250,164,2008,1.78,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations",Sirul,Maharashtra,India,Private,218722.2222
